1: 予測=D, 正解=D
2: 予測=D, 正解=D
3: 予測=D, 正解=D
4: 予測=D, 正解=D
5: 予測=D, 正解=D
6: 予測=D, 正解=D
7: 予測=D, 正解=D
8: 予測=A, 正解=D
9: 予測=D, 正解=D
10: 予測=D, 正解=D
11: 予測=D, 正解=D
12: 予測=D, 正解=D
13: 予測=D, 正解=D
14: 予測=B, 正解=D
15: 予測=D, 正解=D
16: 予測=D, 正解=D
17: 予測=D, 正解=D
18: 予測=D, 正解=D
19: 予測=D, 正解=D
20: 予測=D, 正解=D
21: 予測=D, 正解=D
22: 予測=D, 正解=D
23: 予測=D, 正解=D
24: 予測=D, 正解=D
25: 予測=D, 正解=D
26: 予測=D, 正解=D
27: 予測=D, 正解=D
28: 予測=D, 正解=D
29: 予測=D, 正解=D
30: 予測=D, 正解=D
31: 予測=D, 正解=D
32: 予測=D, 正解=D
33: 予測=D, 正解=D
34: 予測=D, 正解=D
35: 予測=D, 正解=D
36: 予測=D, 正解=D
37: 予測=D, 正解=D
38: 予測=D, 正解=D
39: 予測=D, 正解=D
40: 予測=D, 正解=D
41: 予測=D, 正解=D
42: 予測=D, 正解=D
43: 予測=D, 正解=D
44: 予測=D, 正解=D
45: 予測=D, 正解=D
46: 予測=D, 正解=D
47: 予測=D, 正解=D
48: 予測=D, 正解=D
49: 予測=D, 正解=D
50: 予測=D, 正解=D
51: 予測=D, 正解=D
52: 予測=D, 正解=D
53: 予測=D, 正解=D
54: 予測=D, 正解=D
55: 予測=D, 正解=D
56: 予測=D, 正解=D
57: 予測=D, 正解=D
58: 予測=D, 正解=D
59: 予測=D, 正解=D
60: 予測=D, 正解=D
61: 予測=D, 正解=D
62: 予測=D, 正解=D
63: 予測=D, 正解=D
64: 予測=D, 正解=D
65: 予測=D, 正解=D
66: 予測=D, 正解=D
67: 予測=D, 正解=D
68: 予測=D, 正解=D
69: 予測=D, 正解=D
70: 予測=D, 正解=D
71: 予測=D, 正解=D
72: 予測=D, 正解=D
73: 予測=D, 正解=D
74: 予測=D, 正解=D
75: 予測=D, 正解=D
76: 予測=D, 正解=D
77: 予測=D, 正解=D
78: 予測=D, 正解=D
79: 予測=D, 正解=D
80: 予測=D, 正解=D
81: 予測=D, 正解=D
82: 予測=D, 正解=D
83: 予測=D, 正解=D
84: 予測=D, 正解=D
85: 予測=D, 正解=D
86: 予測=D, 正解=D
87: 予測=D, 正解=D
88: 予測=D, 正解=D
89: 予測=D, 正解=D
90: 予測=D, 正解=D
91: 予測=D, 正解=D
92: 予測=D, 正解=D
93: 予測=D, 正解=D
94: 予測=D, 正解=D
95: 予測=D, 正解=D
96: 予測=D, 正解=D
97: 予測=D, 正解=D
98: 予測=D, 正解=D
99: 予測=D, 正解=D
100: 予測=D, 正解=D
101: 予測=D, 正解=D
102: 予測=D, 正解=D
103: 予測=D, 正解=D
104: 予測=D, 正解=D
105: 予測=D, 正解=D
106: 予測=D, 正解=D
107: 予測=D, 正解=D
108: 予測=D, 正解=D
109: 予測=D, 正解=D
110: 予測=D, 正解=D
111: 予測=D, 正解=D
112: 予測=D, 正解=D
113: 予測=D, 正解=D
114: 予測=D, 正解=D
115: 予測=D, 正解=D
116: 予測=D, 正解=D
117: 予測=D, 正解=D
118: 予測=D, 正解=D
119: 予測=D, 正解=D
120: 予測=D, 正解=D
121: 予測=D, 正解=D
122: 予測=D, 正解=D
123: 予測=D, 正解=D
124: 予測=D, 正解=D
125: 予測=D, 正解=D
126: 予測=D, 正解=D
127: 予測=D, 正解=D
128: 予測=D, 正解=D
129: 予測=D, 正解=D
130: 予測=D, 正解=D
131: 予測=D, 正解=D
132: 予測=D, 正解=D
133: 予測=D, 正解=D
134: 予測=D, 正解=D
135: 予測=D, 正解=D
136: 予測=D, 正解=D
137: 予測=D, 正解=D
138: 予測=D, 正解=D
139: 予測=D, 正解=D
140: 予測=D, 正解=D
141: 予測=D, 正解=D
142: 予測=D, 正解=D
143: 予測=D, 正解=D
144: 予測=D, 正解=D
145: 予測=D, 正解=D
146: 予測=D, 正解=D
147: 予測=D, 正解=D
148: 予測=D, 正解=D
149: 予測=D, 正解=D
150: 予測=D, 正解=D
正解率: 98.67%
