1: 予測=C, 正解=C
2: 予測=A, 正解=A
3: 予測=B, 正解=B
4: 予測=C, 正解=C
5: 予測=B, 正解=B
6: 予測=C, 正解=C
7: 予測=A, 正解=A
8: 予測=A, 正解=C
9: 予測=B, 正解=B
10: 予測=D, 正解=D
11: 予測=D, 正解=D
12: 予測=D, 正解=D
13: 予測=B, 正解=B
14: 予測=D, 正解=D
15: 予測=D, 正解=D
16: 予測=A, 正解=A
17: 予測=B, 正解=B
18: 予測=A, 正解=A
19: 予測=B, 正解=B
20: 予測=D, 正解=D
21: 予測=B, 正解=B
22: 予測=D, 正解=D
23: 予測=B, 正解=B
24: 予測=A, 正解=A
25: 予測=C, 正解=C
26: 予測=D, 正解=D
27: 予測=C, 正解=C
28: 予測=C, 正解=C
29: 予測=D, 正解=D
30: 予測=C, 正解=C
31: 予測=A, 正解=A
32: 予測=D, 正解=D
33: 予測=C, 正解=A
34: 予測=A, 正解=A
35: 予測=D, 正解=D
36: 予測=C, 正解=C
37: 予測=C, 正解=C
38: 予測=A, 正解=A
39: 予測=A, 正解=A
40: 予測=B, 正解=B
41: 予測=C, 正解=C
42: 予測=B, 正解=B
43: 予測=C, 正解=C
44: 予測=C, 正解=C
45: 予測=D, 正解=D
46: 予測=D, 正解=D
47: 予測=A, 正解=A
48: 予測=D, 正解=D
49: 予測=B, 正解=B
50: 予測=D, 正解=D
51: 予測=A, 正解=A
52: 予測=B, 正解=B
53: 予測=C, 正解=C
54: 予測=C, 正解=C
55: 予測=A, 正解=A
56: 予測=B, 正解=B
57: 予測=B, 正解=B
58: 予測=B, 正解=B
59: 予測=C, 正解=C
60: 予測=D, 正解=D
61: 予測=B, 正解=B
62: 予測=A, 正解=A
63: 予測=D, 正解=D
64: 予測=C, 正解=C
65: 予測=B, 正解=B
66: 予測=C, 正解=C
67: 予測=B, 正解=B
68: 予測=D, 正解=D
69: 予測=A, 正解=A
70: 予測=C, 正解=C
71: 予測=B, 正解=B
72: 予測=A, 正解=A
73: 予測=C, 正解=C
74: 予測=B, 正解=B
75: 予測=D, 正解=D
76: 予測=D, 正解=D
77: 予測=A, 正解=A
78: 予測=D, 正解=C
79: 予測=A, 正解=B
80: 予測=B, 正解=B
81: 予測=A, 正解=A
82: 予測=C, 正解=C
83: 予測=D, 正解=D
84: 予測=D, 正解=D
85: 予測=B, 正解=B
86: 予測=D, 正解=D
87: 予測=A, 正解=A
88: 予測=D, 正解=D
89: 予測=C, 正解=C
90: 予測=B, 正解=B
91: 予測=C, 正解=C
92: 予測=B, 正解=B
93: 予測=D, 正解=D
94: 予測=A, 正解=A
95: 予測=A, 正解=A
96: 予測=A, 正解=A
97: 予測=B, 正解=B
98: 予測=C, 正解=C
99: 予測=A, 正解=A
100: 予測=B, 正解=B
101: 予測=D, 正解=D
102: 予測=C, 正解=C
103: 予測=D, 正解=D
104: 予測=D, 正解=D
105: 予測=A, 正解=A
106: 予測=B, 正解=B
107: 予測=C, 正解=C
108: 予測=C, 正解=C
109: 予測=D, 正解=D
110: 予測=C, 正解=C
111: 予測=C, 正解=C
112: 予測=A, 正解=A
113: 予測=A, 正解=A
114: 予測=D, 正解=D
115: 予測=A, 正解=A
116: 予測=C, 正解=C
117: 予測=C, 正解=C
118: 予測=A, 正解=A
119: 予測=B, 正解=B
120: 予測=B, 正解=B
121: 予測=A, 正解=A
122: 予測=D, 正解=D
123: 予測=B, 正解=B
124: 予測=D, 正解=D
125: 予測=D, 正解=D
126: 予測=A, 正解=A
127: 予測=B, 正解=C
128: 予測=A, 正解=C
129: 予測=D, 正解=B
130: 予測=A, 正解=A
131: 予測=B, 正解=B
132: 予測=C, 正解=D
133: 予測=B, 正解=B
134: 予測=B, 正解=B
135: 予測=B, 正解=B
136: 予測=A, 正解=B
137: 予測=B, 正解=B
138: 予測=B, 正解=B
139: 予測=D, 正解=D
140: 予測=D, 正解=D
141: 予測=D, 正解=B
142: 予測=D, 正解=D
143: 予測=A, 正解=A
144: 予測=D, 正解=D
145: 予測=D, 正解=D
146: 予測=D, 正解=A
147: 予測=B, 正解=C
148: 予測=D, 正解=D
149: 予測=B, 正解=D
150: 予測=C, 正解=C
正解率: 91.33%
